Date, Hour, TOU,GB,EPT,EUR_SE,Central Asia,PRC,FR,BNL,DE,CH,PL,SC,BL,IT
1/1/2035,1,OffPeak,59431.27,58847.67,41458.9,45203.16,1316911,100420.7,32576.92,80610.66,20679.64,45414.19,66344.11,4358.742,36925.81
1/1/2035,2,OffPeak,57627.19,53790.54,39855.37,44791.3,1267846,99878.91,31140.41,77448.73,20688.75,44198.03,65453.26,4261.886,34183.79
1/1/2035,3,OffPeak,57003.56,50810.2,38483.31,44923.55,1217657,96463.02,30063.02,76153.56,20533.66,43239.94,65330.91,4213.457,32887.58
1/1/2035,4,OffPeak,55624.39,49345.58,37889.53,45678.64,1184027,93343.64,29490.29,76123.48,20504.75,43011.79,65826.31,4244.397,32305.89
1/1/2035,5,OffPeak,54545.05,48915.39,38228.34,48374.39,1165784,93994.45,29569.24,77620.87,20973.46,43799.01,67131.99,4434.075,32299.8
1/1/2035,6,OnPeak,53957.39,49756.31,40511.2,50161.08,1176813,98917.13,30722.46,81262.42,22239.65,46166.37,70082.09,5042.147,34084.55
1/1/2035,7,OnPeak,56703.73,53643.54,44353.97,51225.25,1252367,109171.3,33456.16,89203.99,22604.19,52490.3,75075.03,5771.319,39625.07
1/1/2035,8,OnPeak,67045.1,60563.78,48176.64,50330.61,1360713,115908.5,36665.03,97262.55,24277.91,56432.95,80338.07,6309.454,46761.04
1/1/2035,9,OnPeak,79464.68,66485.35,50909.02,50705.93,1368722,115998.3,39582.91,101178.2,25447.83,57943.41,82345.09,6487.039,53037.44
1/1/2035,10,OnPeak,83545.72,71307.62,51739.3,52057.09,1412547,116156.9,40485.36,102145.8,25944.27,59072.16,82483.87,6562.379,57037.49
1/1/2035,11,OnPeak,84810.13,73262.73,51673.89,52739.46,1463823,114900.2,40318.19,103165.3,26386.31,59086.97,82756.96,6565.069,58243.61
1/1/2035,12,OnPeak,83578.27,73328.37,51702.4,50880.55,1508898,114249.4,39969.9,104420.3,26377.04,59571.21,82131.7,6484.349,58590.18
1/1/2035,13,OnPeak,82022.63,71628.23,51480.99,46543.77,1462243,112499,39186.64,104467.1,26179.09,59780.17,81131.92,6573.142,57006.96
1/1/2035,14,OnPeak,81333.88,70693.48,51053.27,46282.34,1415244,109289.9,38937.42,102912.9,25966.26,59882.55,80282.85,6544.889,54738.23
1/1/2035,15,OnPeak,81306.46,68434.2,51190.82,47880.51,1426728,105906,38644.84,101403.8,25637.08,59314.59,80605.17,6578.523,54002.32
1/1/2035,16,OnPeak,82084.3,65951.91,51606.8,48042.3,1446699,104775.9,39254.75,100777.1,25644.13,59251.24,81754.17,6816.649,54226.77
1/1/2035,17,OnPeak,84609.68,65149.09,54092.61,48195.69,1491714,105925.3,40087.53,102140.8,26539.99,61742.84,83310.55,6902.752,55984.05
1/1/2035,18,OnPeak,90844.3,65651.77,56122.19,49601.89,1576967,114501.1,42779.43,107386.7,27294.47,62315.22,83985.03,6830.104,61177.98
1/1/2035,19,OnPeak,93059.59,68782.36,55803.5,50158.7,1645207,120076.2,42313.49,107005.7,26954.87,61172.61,83149.4,6647.136,61225.31
1/1/2035,20,OnPeak,92365.7,69170.27,54721.61,44922.82,1670806,116134.5,40911.05,104263.3,25581.49,60639.28,81536.31,6438.607,59616.14
1/1/2035,21,OnPeak,89985.96,68850.84,52613.2,44419.37,1619472,110245.3,39127.82,99331.52,24234.77,58755.81,79357.68,6125.142,55880.21
1/1/2035,22,OnPeak,84285.85,68179.14,50090.48,43829.79,1579823,105768.2,37234.68,95514.48,23059.4,55593.11,77556.58,5642.166,51205.36
1/1/2035,23,OffPeak,76399.61,65205.81,47990.45,43139.09,1515384,110344.6,36281.14,92820.49,22654.24,52507.75,75260.05,5190.135,46225.14
1/1/2035,24,OffPeak,67396.31,60699.04,44952.79,43829.61,1412097,108629.5,35124.83,87850.33,21856.32,49400.8,72290.55,4849.765,41669.38
1/2/2035,1,OffPeak,59563.21,56204.14,42498.84,45204.08,1315812,103222.7,33299.81,84511.26,21419.48,46854.16,70474.54,4612.992,37518.18
1/2/2035,2,OffPeak,57606.63,51488.07,40846.67,46529.57,1267867,103626.6,31971.66,81568.25,20968.71,45505.34,69435.97,4516.134,34661.66
1/2/2035,3,OffPeak,56410.77,48041.5,39286.75,46665.16,1218821,101057.1,30982.52,79479.26,21306.84,44537.86,68434.7,4481.159,33031.09
1/2/2035,4,OffPeak,54605.02,46160.3,38260.21,47717.78,1185960,98400.98,30463.95,78762.3,21109.14,44097.46,68289.95,4520.17,32145.59
1/2/2035,5,OffPeak,53071.64,45431.43,38345.76,49973.09,1168131,99072.61,30559.92,79203.51,20416.99,44310.37,68846.54,4723.304,32063.15
1/2/2035,6,OnPeak,52119.09,45388.51,39882.19,51383.34,1178909,104535.5,31536.7,81101.98,20865.31,45222.05,70143.27,5331.395,32579.18
1/2/2035,7,OnPeak,54159.57,46497.84,42782.32,51387.64,1252741,114635.8,34171.3,85806.42,21326.65,47659.37,73476.87,6040.386,34518.15
1/2/2035,8,OnPeak,63940.63,49424.39,45519.73,48915.52,1358617,122217.7,37319.8,92309.1,22736.73,49202.67,77669.98,6587.938,37354.82
1/2/2035,9,OnPeak,76327.67,51188.05,48434.95,49279.68,1366443,122775.6,40316.64,95785.21,23948.84,50307.12,79518.86,6754.764,40257.14
1/2/2035,10,OnPeak,81433.26,55085.86,50348.79,49780.55,1409274,122642.5,41356.85,97379.54,24778.82,52136.53,79688.97,6804.541,44509.09
1/2/2035,11,OnPeak,83120.84,58453.15,51823.18,51900.69,1459379,120547.5,41180.38,98323.76,25239.31,53187.51,79750.15,6772.252,47732.04
1/2/2035,12,OnPeak,83358.98,59780.73,52391.79,49608.46,1503427,119175.3,40921.89,99301.44,24993.78,53568.49,79211.45,6640.409,49527.48
1/2/2035,13,OnPeak,83675.93,58901.17,51942.27,46415.07,1457835,117057.8,40231.5,98681.41,24725.09,53979.18,78148.99,6667.315,48980.9
1/2/2035,14,OnPeak,83975.75,58890.02,50741.28,46950.31,1411911,112896.5,39759.38,96447.01,24299.18,54254.7,77334.23,6596.013,45301.48
1/2/2035,15,OnPeak,83439.5,57776.3,50464.53,49441.2,1423132,108996.5,39483.85,94593.63,23798.57,53854.6,77188.01,6519.328,43205.27
1/2/2035,16,OnPeak,83293.88,55039.84,50929.15,48195.95,1442647,107348.7,39810.46,94474.99,23736.95,53713.45,78132.56,6713.059,42950.3
1/2/2035,17,OnPeak,84181.34,53760.16,53473.68,47189.53,1486637,108730.4,40445.12,97055.33,24601.31,56025.43,79232.34,6887.954,44090.78
1/2/2035,18,OnPeak,88627.31,54882.07,55479.78,47883.58,1569942,118242.4,43149.38,103210.4,25861.73,56949.19,79490.49,6776.29,49841.98
1/2/2035,19,OnPeak,90522.21,60182.66,54993.35,46959.47,1636627,122112,42217.52,103451,25856.16,56180.43,77868.45,6571.796,52026.74
1/2/2035,20,OnPeak,88430.29,62998.45,53797.41,44923.19,1661641,119189.8,40582.87,100981,24928.58,55832.03,75779.35,6378.067,52438.96
1/2/2035,21,OnPeak,84813.56,64386.94,52252.57,44419,1611478,113723.7,38661.87,96396.87,23830.51,54626.87,72771.06,6068.639,50777.88
1/2/2035,22,OnPeak,79389.3,64988.53,50298.47,43830.5,1572734,109592.8,36434.39,93096.24,22855.57,52479.91,70872.96,5666.382,47738.14
1/2/2035,23,OffPeak,72176.38,63832.46,48743.57,43142.96,1509764,114020.2,35793.54,91767.64,23248.24,50548.8,68178.04,5268.164,44095.36
1/2/2035,24,OffPeak,65011.43,59490.84,46202.4,43826.39,1408835,112805.2,34920.5,88132.76,22649.79,48110.93,65420.44,4883.4,40115.16
1/3/2035,1,OffPeak,58785.36,55250.36,44020.19,45202.06,1199346,107154.7,33222.41,84212.1,21890.97,45339.98,63273.15,4711.196,36721.22
1/3/2035,2,OffPeak,56983,50919.93,42300.92,46551.34,1164242,107013.7,31645.04,80891.43,21437.74,43870.32,61543.67,4598.194,34145.62
1/3/2035,3,OffPeak,55379.39,47771.87,40771.2,46661.74,1128332,103198.6,30499.55,78272.64,20813.34,43264.61,60572.25,4530.933,32408.19
1/3/2035,4,OffPeak,53352.63,46040.61,39996.26,47711.14,1104272,100111.3,29830.84,76750.17,20385.98,43048.68,60133.54,4528.242,31389.85
1/3/2035,5,OffPeak,51384.1,45536.19,40075.09,49974.4,1091217,98923.53,29372.64,75857.76,20493.3,43305.78,60096.23,4615.683,31502.84
1/3/2035,6,OnPeak,49711.98,45947.81,41188.85,51388.45,1099109,100646.7,29446.94,75556.95,21100.82,44074.95,60658.8,4828.24,32953.23
1/3/2035,7,OnPeak,49920.98,47750.35,43000.37,51388.18,1153167,103201.8,30355.59,75465.03,21002.35,46264.75,61682.44,5128.25,35991.44
1/3/2035,8,OnPeak,53571.93,50548.84,45784.75,48908.5,1230687,107682.1,31744.11,79500.98,22114,48342.54,63613.37,5408.079,39754.84
1/3/2035,9,OnPeak,58643.17,53774.77,49280.32,49266.36,1236416,110775.8,34126.41,85064.42,23352.11,50559.93,65956.14,5701.363,42959.46
1/3/2035,10,OnPeak,65032,58942.34,51588.34,49803.7,1267821,113914.4,36391.05,89894.22,24062.16,53343.39,67610.99,6035.005,47477.07
1/3/2035,11,OnPeak,70675.55,63436.95,52551.14,51897.98,1304569,113866.3,37977.68,92725.23,24178.59,54713.86,68927.12,6107.653,50219.09
1/3/2035,12,OnPeak,73000.47,64114.73,52618.23,49610.55,1336871,114002.6,38668.06,94381.4,24079.75,55241.19,68989.79,6068.639,50687.79
1/3/2035,13,OnPeak,74305.99,63349.35,51985.88,46412.62,1303436,114985.2,38805.83,94087.26,24064.17,54868.36,68603.31,6005.408,50176.34
1/3/2035,14,OnPeak,74799.43,63337.59,50682.58,46955.46,1269755,109766,38242.38,92051.73,23895.26,54967.9,67994.49,5939.487,48614.48
1/3/2035,15,OnPeak,74138.09,62696.9,50367.25,49440.41,1277986,105628.7,37570.57,90530.95,23890.46,54231.02,67836.31,5911.235,47762.57
1/3/2035,16,OnPeak,73396.23,60613.96,50815.09,48196.46,1292299,103346.1,37298.13,90370.51,23743.93,54268.38,69009.19,6126.489,46889.28
1/3/2035,17,OnPeak,73903.37,59480.54,53255.62,47187.42,1324559,103418.2,37671.18,92387.64,24695.04,56712.94,71086.35,6337.707,47808.38
1/3/2035,18,OnPeak,79356.75,60685.3,55650.87,47869.5,1385604,110400.7,39589.1,96737.8,25529.41,57062.75,71907.07,6261.023,54043.56
1/3/2035,19,OnPeak,82892.97,66462.41,55389.2,46962.33,1434393,113803.8,38943.6,96493.8,25035.17,56398.68,71090.83,6122.452,56286.34
1/3/2035,20,OnPeak,81392.14,69314.06,54459.95,46668.57,1452697,111463.5,37589.14,93388.7,23851.08,55813.74,69315.09,5946.214,56487.87
1/3/2035,21,OnPeak,77216.86,70213.17,52624.94,44667.91,1415993,107100.2,35915.82,88333.3,22688.19,54600.21,67087.23,5706.744,53420.66
1/3/2035,22,OnPeak,71873.13,69678.15,50729.55,44419.19,1387649,103158.6,34261.07,85154.66,21727.79,51960.25,65838.26,5319.287,49451.14
1/3/2035,23,OffPeak,66049.69,66561.42,49016.98,44066.15,1341517,108348.9,33606.3,84454.44,21896.45,49540.73,64077.45,4933.177,45617.51
1/3/2035,24,OffPeak,60896.14,61979.76,46690.51,43718.21,1267500,107550.7,32744.1,80744.36,21200.37,47170.44,61952.54,4595.504,41396.09
1/4/2035,1,OffPeak,55086.43,51027.42,41747.4,44420.63,1224492,100345.4,30542.9,70070.38,19219.58,38950.65,50367.02,3753.385,36211.29
1/4/2035,2,OffPeak,52338.38,49538.98,40427.34,43253.14,1183837,99317.87,29756.54,68247.09,19383.31,37698.65,49747.74,3571.776,34739.52
1/4/2035,3,OffPeak,51067.15,46389.39,38610.79,43366.74,1142250,95918.01,28547.57,65919.1,19193.15,36325.15,48886.72,3441.287,32702.85
1/4/2035,4,OffPeak,47464.2,43619.3,37213.56,42781.66,1114389,91469.79,27510.45,63938.73,18721.86,35252.14,48334.6,3349.81,30099.76
1/4/2035,5,OffPeak,44190.18,41568.81,36351.41,44420.82,1099269,88469.04,26747.29,62466.39,18365.82,34683.95,48128.67,3348.464,28704.31
1/4/2035,6,OnPeak,41968.1,40747.57,35994.14,44551.68,1108409,88036.24,26512,60975.67,18320.53,34706.16,48539.04,3400.929,28763.86
1/4/2035,7,OnPeak,41138.88,40899.37,36299.41,45204.63,1171012,87823.05,26713.24,59010.35,17789.21,35026.64,49180.7,3482.989,29910.44
1/4/2035,8,OnPeak,41685.42,41312.5,36814.35,44420.45,1260789,88270.29,26898.99,59274.39,17921.98,34961.13,50089.46,3544.872,30311.98
1/4/2035,9,OnPeak,42670.53,41100.77,38386.02,44065.25,1267424,88568.41,27482.58,60394.09,18966.59,35313.9,51040,3574.467,30737.94
