Date, Hour, TOU,GB,EPT,EUR_SE,Central Asia,PRC,FR,BNL,DE,CH,PL,SC,BL,IT
1/1/2035,1,OffPeak,-18800,43358.61,40522.27,37790.18,801506.8,60862.28,-14565.16,24658.7,16529.38,15996.46,47684.51,-7335.068,31822.96
1/1/2035,2,OffPeak,-18800,38094.7,38903,38753.92,796380.7,60272.28,-15100.74,17472.43,16129.58,15262.54,49992.86,-7335.068,29096.57
1/1/2035,3,OffPeak,-18800,35439.29,37381.39,39582.04,594225.7,56682.85,-16288.46,17207,15842.89,13477.72,45796.61,-7197.954,27995.72
1/1/2035,4,OffPeak,-12070.59,33326.93,35976.91,36147.41,345785.1,53640.59,-17063.43,18159.35,16048.98,12905.1,49471.82,-6683.917,28007.93
1/1/2035,5,OffPeak,-4500,32232.11,35835.6,29253.27,109225.6,54310.69,-17591.22,20208.38,16818.51,14174.58,54013.84,-5660,28236.28
1/1/2035,6,OnPeak,-4500,32305.01,37604.88,23042.64,-46063.48,59127.31,-17430.86,24953.22,18413.71,17322.74,56896,-5638.935,30290.63
1/1/2035,7,OnPeak,-4500,35411.55,40388.99,18879.85,152745.7,69005.47,-15120.04,35300.98,19205.96,23925.98,56896,-4818.617,35453.32
1/1/2035,8,OnPeak,-4500,40665.65,41825.27,15994.8,489517.5,75048.87,-12445.5,45512.88,20428.23,26775.53,56896,-4333.73,36825.76
1/1/2035,9,OnPeak,-4500,39015.93,43274.01,18489.18,586463.5,72024.48,-10403.38,48613.27,18189.86,27792.41,56896,-4086.171,32138.05
1/1/2035,10,OnPeak,-4499.994,33907.21,45002.78,25574.23,745921.8,69261.07,-10976.29,53138.36,16483.26,31866.82,56896,-3166.444,28948.39
1/1/2035,11,OnPeak,-4500,26044.44,46287.61,34684.43,971220,65195.29,-12971.82,54615.59,11928.2,36578.43,56896,-2130.895,22688.76
1/1/2035,12,OnPeak,-4500,20977.63,44573.27,42544.05,1154645,63171.67,-14630.4,53289.32,10391.02,40527.46,56896,-1351.442,21440.41
1/1/2035,13,OnPeak,-4500,15567.87,45520.23,42042.91,1112454,61101.84,-15075.09,54841.18,10936.85,44593.16,56896,-681.3744,24461.71
1/1/2035,14,OnPeak,-4500,17385.63,44603.29,40321.38,1065041,58642.04,-14924.89,56869.37,15111.24,47115.44,56896,-401.0414,30264.88
1/1/2035,15,OnPeak,-4499.994,20125.28,47244.18,41231.75,1070360,56699.93,-13735.4,58790.61,19369.68,47395.77,56896,-496.5637,40887.13
1/1/2035,16,OnPeak,-4499.994,23322.69,48340.83,41546.39,1086380,57373.29,-11096.33,53379.08,22783.74,46643.64,56896,-441.0095,50081.57
1/1/2035,17,OnPeak,-3437.988,30946.47,50290.98,42540.42,1124133,60222.5,-9812.47,45006.76,24611.89,47298.06,56896,-628.7796,54491.31
1/1/2035,18,OnPeak,2265.674,33508.52,51029.75,44940.12,1203696,68704.73,-7120.569,42944.76,24949.08,44999.86,53013.87,-1020.947,59712.77
1/1/2035,19,OnPeak,2074.976,35331.39,49750.81,46261.15,1262088,74048.44,-7586.511,37556.98,24177.07,40205.87,53210.46,-1751.663,59506.13
1/1/2035,20,OnPeak,-758.9905,34383.7,47692.93,41560.23,1281646,69836.77,-8988.949,30848.02,22479.38,36273.77,56132.07,-2690.522,57830.53
1/1/2035,21,OnPeak,-3505.957,32669.61,44852.54,41209.63,1233126,63667.98,-10772.18,22905.88,20916.45,31244.14,56896,-3734.318,53965.67
1/1/2035,22,OnPeak,-4500,31213.01,42235.37,40390.77,1208952,58718.45,-12665.32,16724.67,19515.47,25670.13,56896,-4445.522,49079.82
1/1/2035,23,OffPeak,-4500,28277.66,40827.97,38783,1165823,62832.07,-13618.86,11682.28,18908.2,19576.41,56896,-4988.844,44072.25
1/1/2035,24,OffPeak,-4500,23865.84,38892.23,38403.61,1072549,60750.6,-14775.17,4300.659,17847.07,12818.08,55296.4,-5557.442,39575.1
1/2/2035,1,OffPeak,-4500,20119.96,37587.43,39013.85,983836.4,55237.74,-16600.19,-1502.399,17057.71,6045.95,48978.86,-3335.068,35369.2
1/2/2035,2,OffPeak,-4500,17131.94,37241.82,40262.93,946929.7,55747.69,-17928.34,-6930.408,16221.53,1528.003,45971.07,-3335.068,32571.29
1/2/2035,3,OffPeak,-4500,15721.46,35902.28,40575.55,694873.3,53380.66,-18917.48,-11215.44,16211.85,-817.3676,33139.07,-3335.069,30206.16
1/2/2035,4,OffPeak,-4500,14437.37,34379.88,36984.16,389065.7,51544.05,-19436.05,-13960.33,15440.73,-1510.37,34484.05,-3335.068,29031.53
1/2/2035,5,OffPeak,-4500,13826.65,33025.06,30835.84,135643,53131.62,-19340.08,-15788.73,13850.84,-2698.315,29423.52,-3335.067,28570.08
1/2/2035,6,OnPeak,-4500,14220.49,31547.89,25173.5,-9977.734,59712.9,-18363.3,-16790.3,13312.13,-4944.696,26404.35,-3022.479,28562.54
1/2/2035,7,OnPeak,-4500,16110.5,28897.6,20891.7,109439.1,70459.16,-15728.7,-14507.82,13242.35,-1742.459,35361.25,-1660,29264.67
1/2/2035,8,OnPeak,-4500,18698.97,25680.67,16795.15,205240.5,78659.68,-12616.7,-9758.459,14010.45,-1745.34,50609.27,-1660.001,23926.24
1/2/2035,9,OnPeak,-4500,17002.96,29484.9,18683.11,330990.9,79651.48,-10448.19,-10407.01,13920.27,-1744.037,54024.21,-1660,16198.26
1/2/2035,10,OnPeak,-4500.006,16290.29,33315.66,24435.15,560360.8,78568.57,-10711.23,-13389.77,12681.44,-1741.919,52375.3,-1660,12041.71
1/2/2035,11,OnPeak,-4500.006,15979.97,39414.69,34983.11,821925,73237.96,-12765.39,-14361.79,11747.13,-1745.404,52720.11,-1660.001,11349.76
1/2/2035,12,OnPeak,-4499.994,12455.66,39458.83,41697.83,1018403,68472.16,-13394.13,-14849.19,9275.518,668.7134,50459.56,-1660.001,14206.99
1/2/2035,13,OnPeak,-4500,8555.48,36727.03,41990.63,990449.9,65318.37,-13762.76,-13277.38,7988.371,3463.458,47805.15,-1660,17256.8
1/2/2035,14,OnPeak,-4500,11656.81,36388.71,42441.38,958118.6,63014.86,-13330.6,-10143.3,9544.333,5530.811,45616.45,-1660,21257.32
1/2/2035,15,OnPeak,-4499.994,15092.9,37941.08,45008.69,985911.5,62948.02,-12062.31,-3929.596,11982.93,5260.892,38336.62,-1660.001,27858.04
1/2/2035,16,OnPeak,-4500,17152.4,38782.36,43992.71,1028495,65846.16,-9112.687,2038.208,15780.54,4614.99,44156.57,-1660,37117.68
1/2/2035,17,OnPeak,-4500,22435.5,42186.88,43368.41,1099794,69775.94,-7947.217,6686.353,18675.84,6398.789,49096.4,-1660,41280.95
1/2/2035,18,OnPeak,-4500,25842.18,46066.23,44444.57,1216098,78886.44,-5279.73,14669.71,20494.13,9251.565,49096.4,-1570,46981.88
1/2/2035,19,OnPeak,-4500,30440.97,47626.23,43978.99,1298652,81975.09,-6358.679,19701.7,21249.99,11284.5,49096.4,-1660.001,48932.21
1/2/2035,20,OnPeak,-4499.994,32725.04,48508.2,42248.4,1333638,78310.51,-8379.438,23557.15,20985.13,15092.7,48496.4,-1833.035,48895.1
1/2/2035,21,OnPeak,-4500,33609.26,48065.27,41897.06,1287778,72343.06,-10852.02,24836.16,20399.38,17332.24,48496.4,-3699.53,46745.61
1/2/2035,22,OnPeak,-4500.006,34814.29,47102.9,41232.13,1251434,67787.94,-12969.18,25922.38,19687.65,15323.08,48496.4,-2056.441,43354.22
1/2/2035,23,OffPeak,-4500,33856.55,46712.89,40315.32,1184905,71993.59,-13095.22,29227.54,20183.72,10751.03,57496,-1660.001,39488.73
1/2/2035,24,OffPeak,-4500,29734.37,44502.3,40540.22,1071770,70508.63,-13600.54,30152.88,19641.68,8221.295,53420.04,-1660,35457.74
1/3/2035,1,OffPeak,-4500,25820.93,42603.44,41380.93,857915.5,64289.29,-15335.4,30067.43,18948.66,7700.888,46464.92,-3687.603,32165.38
1/3/2035,2,OffPeak,-4500,22064.41,41080.94,42348.1,798445.9,63338.43,-17758.54,28722.14,18486.03,11053.81,41644.07,-3846.25,30023.49
1/3/2035,3,OffPeak,-4500,19821.51,40070.7,42168.94,491236.3,58973.75,-19400.45,25257.5,17777.03,16786.34,41781.05,-4096.095,28629.89
1/3/2035,4,OffPeak,-4500,18440.5,39232.79,39510.95,192791.9,55838.26,-20069.16,20619.59,17227.46,22265.65,47994.89,-4418.305,27756.12
1/3/2035,5,OffPeak,-3500,17908.65,39232.91,35457.38,-11275.98,54631.2,-20527.36,14662.6,17057.47,24084.35,51844.7,-4924.257,28353.61
1/3/2035,6,OnPeak,-3500,18522.83,39729.98,30739.69,-173571.6,56373.66,-20453.06,8834.906,17321.88,24049.76,53959.2,-5213.802,29905.59
1/3/2035,7,OnPeak,-3499.997,21154.57,40955.32,26702.55,-128182.4,58986.6,-19544.41,2559.375,16790.99,24388.67,61682.44,-5416.039,31950.82
1/3/2035,8,OnPeak,-693.5364,24265.41,43640.54,21830.39,-6968.164,63225.69,-18235.73,-1069.226,16396.31,20797.27,58412.97,-5647.631,29548.15
1/3/2035,9,OnPeak,-500,23112.43,47192.75,23257.76,151785.2,64653.99,-16412.48,-7812.958,13279.93,16474.76,57556.54,-5607.458,24263.63
1/3/2035,10,OnPeak,-779.7241,21425.32,49329.42,27932.59,367004.7,65968.95,-15168.66,-10508.58,12127.76,15140.77,57995.97,-5302.562,19123.96
1/3/2035,11,OnPeak,-1490.71,17506.97,50487.39,36761.91,651450.8,64138.33,-14479.01,-14339.68,10273.42,12549.14,66506.23,-5138.378,14730.83
1/3/2035,12,OnPeak,-500,15863.18,47738.46,42166.52,825751.1,63116.84,-15639.62,-17453.99,10626.51,8619.021,67976.8,-4902.8,15404.07
1/3/2035,13,OnPeak,-1500,14128.64,45002.41,42599.56,774646.1,63951.91,-14291.41,-19161.02,11462.74,4242.996,61979.94,-4724.354,14826.14
1/3/2035,14,OnPeak,-883.905,20860.49,46126.57,42599.38,717938.1,60443.74,-15067.61,-18293.16,11949.72,152.8992,52602.47,-4706.455,23887.23
1/3/2035,15,OnPeak,-1500,27339.95,48310.81,44090.83,703101,57413.76,-14635.63,-15789.75,13805.23,-5064.832,43631.59,-4815.504,32709.29
1/3/2035,16,OnPeak,-1500,33264.94,50043.66,42235.5,698918,57647.95,-13133.95,-12535.99,15893.41,-5531.61,40383.41,-4691.529,41055.89
1/3/2035,17,OnPeak,-1500,41756.42,52507.89,41150.04,726729.8,59837.04,-12228.82,-12166.34,17725.2,-3087.048,40059.84,-4662.894,44572.13
1/3/2035,18,OnPeak,-1500,46444.63,54800.82,42137.81,797560.8,67005.03,-10310.9,-9539.398,18371.04,-2737.238,37813.75,-4876.515,50581.75
1/3/2035,19,OnPeak,-1500,50551.36,54365.98,41689.17,870721.3,70610.59,-10956.4,-10844.64,17627.7,-2482.739,29527.56,-5288.959,52730.75
1/3/2035,20,OnPeak,-1500,51402.79,53326.54,42006.8,918051.9,68520.96,-12310.86,-14212.42,16476.5,-1620.905,23234.76,-2179.215,52912.75
1/3/2035,21,OnPeak,-1500,49748.88,51483.67,40541.09,913540.1,64234.8,-13984.18,-19772.19,15464.02,-1736.035,11528.17,-1660,49849.45
1/3/2035,22,OnPeak,-1500,46586.98,48864.16,40521.64,937166.9,60225.71,-15638.93,-22982.36,14954.83,-1723.914,1952.832,-1660,45876.02
1/3/2035,23,OffPeak,-1500,40803.29,46632.11,40245.02,933240.4,66061.98,-16293.7,-23020.6,15659.32,-1715.942,-5191.998,-1660,42116.63
1/3/2035,24,OffPeak,-1500,34940.89,43833.39,39897.08,891001.8,66285.76,-17155.9,-24250.93,16114.78,-1706.204,-11231.03,-1660,37695.94
1/4/2035,1,OffPeak,-1500,22686.72,37253.14,40370.23,898205.9,59967.46,-19357.1,-30438.24,15200.92,-1669.315,-6312.448,-1660,32487.7
1/4/2035,2,OffPeak,-1500,19752.97,34933.48,38820.63,885409.5,59402.71,-20143.46,-24207.6,16337.59,-1665.155,-12573.75,-1660,31109.7
1/4/2035,3,OffPeak,-1500.003,15217.15,32133.07,38338.98,633160.4,55906.43,-21352.43,-17956.29,17143.87,-1659.842,-11327.39,-211.5372,28803.43
1/4/2035,4,OffPeak,-1500,10824.51,30428.88,32972.77,376265.7,50715.84,-22389.55,-10380.18,17711.32,-1655.481,-10258.2,0,25962
